Department,Number,Description,coAndPrerequisites
BIOL,448,Neuroethology,Complete 1 of: BIOL345 - Animal Behaviour (1.5)BIOL365 - Animal Physiology (1.5)BIOL305A - Animal Physiology (1.5)BIOL305B - Animal Physiology (1.5)
BIOL,449,Flowering Plant Diversity,Complete all of the followingComplete 1 of: BIOL184 - Evolution and Biodiversity (1.5)BIOL190B - General Biology II (1.5)Complete 1 of: BIOL186 - Physiology and Cell Biology (1.5)BIOL190A - General Biology I (1.5)minimum third-year standing.
BIOL,457,Paleoecology and Environmental Change,Complete all of the followingComplete 1 of: BIOL215 - Principles of Ecology (1.5)EOS330 - Paleobiology (1.5)minimum third-year standingor permission of the department.
BIOL,458,Plant Biochemistry and Biochemical Ecology,Complete 1 of: BIOC299 - Biochemistry for Non-Majors (1.5)BIOC300A - General Biochemistry I (1.5)BIOC300B - General Biochemistry II (1.5)
BIOL,459,Human Microbial Diseases,Complete 2 of: BIOL215 - Principles of Ecology (1.5)BIOL225 - Principles of Cell Biology (1.5)BIOL230 - Principles of Genetics (1.5)
BIOL,460,Honours Seminar,
BIOL,461,Fisheries Ecology and Management,Complete 1 of the followingCompleted or concurrently enrolled in 1 of: BIOL330 - Study Design and Data Analysis (1.5)BIOL370 - Conservation Biology (1.5)ES320 - Conservation Biology (1.5)ES344 - Study Design and Data Analysis (1.5)or permission of the department.
BIOL,462,Community and Ecosystem,Complete all of: BIOL215 - Principles of Ecology (1.5)
BIOL,465,The Molecular Basis of Cancer,Complete all of the followingComplete all of: BIOL225 - Principles of Cell Biology (1.5)BIOL230 - Principles of Genetics (1.5)Complete 1 of: BIOL360 - Cell Biology (1.5)BIOC300A - General Biochemistry I (1.5)BIOC300B - General Biochemistry II (1.5)
BIOL,466,Frontiers in Marine Biology,Complete 1 of: BIOL311 - Biological Oceanography (1.5)BIOL319 - Marine Ecology (1.5)EOS311 - Biological Oceanography (1.5)
BIOL,467,Neural Development,Complete 1 of: BIOL309 - Developmental Biology (1.5)BIOL360 - Cell Biology (1.5)BIOL367 - Neurobiology: Molecules to Behaviour (1.5)
BIOL,468,Food Web Ecology,Complete all of the followingComplete all of: BIOL215 - Principles of Ecology (1.5)minimum third-year standing.
BIOL,470,Advanced Topics in Biology,Set by department depending upon topic.
BIOL,490A,Directed Studies and Research in Botany,Complete all of the followingMinimum third-year standingminimum cumulative GPA of 5.0 in the last 15 units of coursework.
BIOL,490B,Directed Studies and Research in Ecology,Complete all of the followingMinimum third-year standingminimum cumulative GPA of 5.0 in the last 15 units of coursework.
BIOL,490D,Directed Studies and Research in Marine Biology,Complete all of the followingMinimum third-year standingminimum cumulative GPA of 5.0 in the last 15 units of coursework.
BIOL,490E,Directed Studies and Research in Zoology,Complete all of the followingMinimum third-year standingminimum cumulative GPA of 5.0 in the last 15 units of coursework.
BIOL,490F,Directed Studies and Research in Cell and Molecular Biology,Complete all of the followingMinimum third-year standingminimum cumulative GPA of 5.0 in the last 15 units of coursework.
BIOL,490G,Directed Studies and Research in Evolution,Complete all of the followingMinimum third-year standingminimum cumulative GPA of 5.0 in the last 15 units of coursework.
BIOL,490H,Directed Studies and Research in Neurobiology,Complete all of the followingMinimum third-year standingminimum cumulative GPA of 5.0 in the last 15 units of coursework.
BIOL,490J,Directed Studies and Research in Forest Biology,Complete all of the followingMinimum third-year standingminimum cumulative GPA of 5.0 in the last 15 units of coursework.
BIOL,499A,Honours Thesis I,Permission of the department.
BIOL,499B,Honours Thesis II,Complete all of: BIOL499A - Honours Thesis I (1.5)
