Department,Number,Description,coAndPrerequisites
ECON,350,Mathematical Economics I: An Introduction to Static Methods,Complete 1 of the followingEarn a minimum grade of B in each of the following: MATH208 - Mathematics for Economics and Econometrics (1.5)Complete all of the followingComplete all of: MATH101 - Calculus II (1.5)Complete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete all of: MATH200 - Calculus III (1.5)
ECON,351,Mathematical Economics II: An Introduction to Dynamic Methods,Complete all of: ECON350 - Mathematical Economics I: An Introduction to Static Methods (1.5)
ECON,358,Competition Economics I,Complete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)
ECON,365,Econometrics: Part I,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Complete 1 of: ECON245 - Descriptive Statistics and Probability (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)Complete 1 of: ECON246 - Statistical Inference (1.5)STAT261 - Introduction to Probability and Statistics II (1.5)Complete 1 of the followingEarn a minimum grade of B in each of the following: MATH208 - Mathematics for Economics and Econometrics (1.5)Complete all of: MATH101 - Calculus II (1.5)MATH110 - Matrix Algebra for Engineers (1.5)Complete all of: MATH101 - Calculus II (1.5)MATH211 - Matrix Algebra I (1.5)
ECON,366,Econometrics: Part II,Complete all of: ECON365 - Econometrics: Part I (1.5)
ECON,370,Labour Economics I,Complete all of: ECON203 - Intermediate Microeconomics I (1.5)
ECON,381,Environmental Economics I,Complete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)
ECON,382,Natural Resource Economics I,Complete all of: ECON203 - Intermediate Microeconomics I (1.5)
ECON,383,Climate Economics,Minimum second-year standing.
ECON,400,Advanced Topics in Microeconomic Theory,Complete all of the followingComplete all of: ECON313 - Intermediate Microeconomics II (1.5)ECON350 - Mathematical Economics I: An Introduction to Static Methods (1.5)declared Honours in Economics (BSc)or permission of the department.
ECON,401,Advanced Topics in Macroeconomic Theory,Complete all of the followingComplete all of: ECON204 - Intermediate Macroeconomics (1.5)ECON313 - Intermediate Microeconomics II (1.5)ECON350 - Mathematical Economics I: An Introduction to Static Methods (1.5)ECON351 - Mathematical Economics II: An Introduction to Dynamic Methods (1.5)declared Honours in Economics (BSc)or permission of the department.
ECON,403,Agricultural Economics and Policy,Complete 1 of the followingCompleted or concurrently enrolled in all of: ECON313 - Intermediate Microeconomics II (1.5) or permission of the department.
ECON,405A,International Trade Theory,Complete all of the followingComplete all of: ECON203 - Intermediate Microeconomics I (1.5)ECON350 - Mathematical Economics I: An Introduction to Static Methods (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,405B,International Monetary Theory and Policy,Complete all of the followingComplete all of: ECON203 - Intermediate Microeconomics I (1.5)ECON204 - Intermediate Macroeconomics (1.5)Complete 1 of: ECON345 - Applied Econometrics (1.5)ECON365 - Econometrics: Part I (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,406,Monetary Economics,Complete all of the followingComplete all of: ECON204 - Intermediate Macroeconomics (1.5)ECON313 - Intermediate Microeconomics II (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,410A,Problems of Canadian Microeconomic Policy,Complete all of the followingComplete all of: ECON203 - Intermediate Microeconomics I (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,410B,Problems of Canadian Macroeconomic Policy,Complete all of the followingComplete all of: ECON204 - Intermediate Macroeconomics (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,413,Economics of Firm Strategy,Complete all of: ECON313 - Intermediate Microeconomics II (1.5)
ECON,416,Cost Benefit Analysis: Principles and Application,Complete all of: ECON203 - Intermediate Microeconomics I (1.5)
ECON,420,Theory of Economic Development,Complete all of: ECON204 - Intermediate Macroeconomics (1.5)ECON313 - Intermediate Microeconomics II (1.5)ECON320 - Economic Development (1.5)
ECON,422,Issues in European Economic Integration,Complete all of the followingComplete all of: ECON203 - Intermediate Microeconomics I (1.5)ECON204 - Intermediate Macroeconomics (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,423,Economics and Indigenous Peoples,Complete all of the followingComplete all of: ECON313 - Intermediate Microeconomics II (1.5)Complete 1 of: ECON345 - Applied Econometrics (1.5)ECON365 - Econometrics: Part I (1.5)
ECON,435,Financial Economics,Complete all of the followingComplete all of: ECON305 - Money and Banking (1.5)Earn a minimum grade of B- in each of the following: ECON313 - Intermediate Microeconomics II (1.5)Complete 1 of: COM240 - Management Finance (1.5)MATH242 - Mathematics of Finance (1.5)
ECON,437,Philosophical Problems in Contemporary Economics,Complete all of: ECON313 - Intermediate Microeconomics II (1.5)or permission of the department.
ECON,450,Game Theory in Economics,Complete all of: ECON203 - Intermediate Microeconomics I (1.5)
ECON,451,General Equilibrium and Welfare Economics,Complete all of: ECON313 - Intermediate Microeconomics II (1.5)ECON350 - Mathematical Economics I: An Introduction to Static Methods (1.5)
ECON,452,Information and Incentives,Complete all of the followingComplete all of: ECON313 - Intermediate Microeconomics II (1.5)ECON350 - Mathematical Economics I: An Introduction to Static Methods (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,453,Economic Growth,Complete all of the followingCompleted or concurrently enrolled in 1 of: ECON345 - Applied Econometrics (1.5)ECON365 - Econometrics: Part I (1.5)Completed or concurrently enrolled in all of: ECON351 - Mathematical Economics II: An Introduction to Dynamic Methods (1.5)Complete 1 of the followingCompleted or concurrently enrolled in 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,454,Theory of Corporate Finance,Complete all of the followingComplete all of: ECON305 - Money and Banking (1.5)Earn a minimum grade of B- in each of the following: ECON313 - Intermediate Microeconomics II (1.5)Complete 1 of: COM240 - Management Finance (1.5)MATH242 - Mathematics of Finance (1.5)
ECON,457,Computational Economics,Complete all of the followingComplete all of: ECON203 - Intermediate Microeconomics I (1.5)ECON204 - Intermediate Macroeconomics (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)Complete 1 of: ECON246 - Statistical Inference (1.5)STAT261 - Introduction to Probability and Statistics II (1.5)Complete 1 of: ECON350 - Mathematical Economics I: An Introduction to Static Methods (1.5)MATH204 - Calculus IV (1.5)Complete 1 of: CSC105 - Computers and Information Processing (1.5)CSC110 - Fundamentals of Programming I (1.5)CSC111 - Fundamentals of Programming with Engineering Applications (1.5)Complete 1 of the followingComplete all of: MATH208 - Mathematics for Economics and Econometrics (1.5)Complete all of the followingComplete all of: MATH101 - Calculus II (1.5)MATH200 - Calculus III (1.5)Complete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)
ECON,458,Competition Economics II,Complete all of the followingCompleted or concurrently enrolled in 1 of: ECON310A - Competition Economics I (1.5)ECON358 - Competition Economics I (1.5)Completed or concurrently enrolled in all of: ECON313 - Intermediate Microeconomics II (1.5)Completed or concurrently enrolled in 1 of: ECON345 - Applied Econometrics (1.5)ECON365 - Econometrics: Part I (1.5)
ECON,465,Advanced Applied Econometrics,Complete all of the followingComplete all of: ECON203 - Intermediate Microeconomics I (1.5)Complete 1 of: ECON345 - Applied Econometrics (1.5)ECON365 - Econometrics: Part I (1.5)
ECON,468,Financial Econometrics,Complete all of the followingComplete 1 of: ECON305 - Money and Banking (1.5)COM240 - Management Finance (1.5)Complete 1 of: ECON365 - Econometrics: Part I (1.5)STAT350 - Mathematical Statistics I (1.5)STAT353 - Applied Regression Analysis (1.5)or permission of the department.
ECON,471,Labour Economics II,Complete all of the followingComplete all of: ECON203 - Intermediate Microeconomics I (1.5)Complete 1 of: ECON345 - Applied Econometrics (1.5)ECON365 - Econometrics: Part I (1.5)Complete all of: ECON370 - Labour Economics I (1.5)or permission of the department.
ECON,481,Environmental Economics II,Complete all of the followingComplete all of: ECON313 - Intermediate Microeconomics II (1.5)Complete 1 of: ECON330 - Environmental Economics (1.5)ECON381 - Environmental Economics I (1.5)ES312 - Environmental Economics (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,482,Natural Resource Economics II,Complete all of: ECON313 - Intermediate Microeconomics II (1.5)ECON382 - Natural Resource Economics I (1.5)
ECON,485,Topics in Economics,Complete 1 of the followingCompleted or concurrently enrolled in 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,486,Topics in Econometrics,Complete 1 of the followingCompleted or concurrently enrolled in 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,495,Directed Studies,Permission of the department.
ECON,496,Directed Experiential Learning in Economics,Complete all of the followingMinimum third-year standingdeclared Honours or Major in Economicspermission of the department
ECON,499,Fourth-Year Honours Thesis and Seminar,
